year,month, soju ,temp,maxtemp,mintemp,rainfall,wind,hum,sunshine,GNI,GNP
1995,1,"58,741",-1.15,4.28,-6.01,23.47,2.34,61.71,199.44,177027.3,152152
1995,2,"55,303",1.13,7.85,-4.42,17.69,1.91,64,193.9,177027.3,152152
1995,3,"63,796",5.94,11.8,0.84,56.91,2.36,66.67,180.21,177027.3,152152
1995,4,"62,473",11.21,18.16,4.48,71.1,2.38,57.36,238.04,179271.7,155011.9
1995,5,"65,117",16.18,22.39,9.91,67.84,2.09,62.16,231.4,179271.7,155011.9
1995,6,"66,316",20.3,25.62,15.61,69.73,1.79,70.22,193.34,179271.7,155011.9
1995,7,"65,322",24.54,28.79,21.05,204.18,1.96,77.87,153.84,183021.1,157911.7
1995,8,"59,885",26.3,31.06,22.69,433.86,1.82,79.02,190.71,183021.1,157911.7
1995,9,"72,472",19.21,24.74,14.5,52.94,1.6,74.56,172.03,183021.1,157911.7
1995,10,"61,868",14.69,21.56,9,30.06,1.61,70.42,206.18,186481.4,160837.5
1995,11,"64,104",6.29,13.43,0.37,20.38,2.2,65.16,208.17,186481.4,160837.5
1995,12,"69,576",-0.16,5.68,-5.15,5.34,2.19,65.18,176.11,186481.4,160837.5
1996,1,"71,597",-0.95,4.76,-5.8,29,2.36,62,182.57,190057.4,164143.8
1996,2,"58,837",-0.72,5.41,-6,11.61,2.48,59.33,196.94,190057.4,164143.8
1996,3,"61,553",4.69,10.16,-0.36,118.54,2.43,63.53,177.1,190057.4,164143.8
1996,4,"74,374",10.17,16.48,3.91,56.37,2.48,55.29,247.04,192409.7,167044.8
1996,5,"67,873",16.98,23.59,10.87,40.92,1.89,64.82,233.75,192409.7,167044.8
1996,6,"60,833",20.99,25.37,17.49,301.15,1.82,79.56,111.55,192409.7,167044.8
1996,7,"68,516",24.1,28.82,20.41,210.22,1.92,78.8,184.59,195037.9,170226
1996,8,"63,306",25.36,30.36,21.42,110.06,1.58,77.02,192.42,195037.9,170226
1996,9,"64,716",20.57,27.08,15.44,29.68,1.44,72.84,209.03,195037.9,170226
1996,10,"69,857",14.3,21.05,8.72,64.33,1.65,70.09,191.07,194280,172233.8
1996,11,"70,807",7.38,12.68,2.64,66,1.98,68.07,139.69,194280,172233.8
1996,12,"69,958",1.8,8.4,-3.42,25.63,1.84,66.71,185.1,194280,172233.8
1997,1,"77,599",-1.51,4.36,-6.62,14.58,2.39,60.96,180.81,197160.3,173125.2
1997,2,"66,157",1.34,8.05,-4.59,28.07,2.2,59.02,191.53,197160.3,173125.2
1997,3,"66,398",6.77,13.32,1,42.19,2.23,60.29,217.5,197160.3,173125.2
1997,4,"75,757",12.34,18.86,6.21,67.69,2.08,58.87,223.51,202950.6,179074.1
1997,5,"99,268",17.09,22.87,11.88,188.98,2.21,67.62,192.65,202950.6,179074.1
1997,6,"65,607",21.92,27.82,16.82,192.55,1.67,70.73,221.67,202950.6,179074.1
1997,7,"67,896",24.72,29.35,21.12,310.27,1.7,78.71,172.13,202548,180380.4
1997,8,"64,816",25.31,30.25,21.49,219.78,1.79,76.6,196.13,202548,180380.4
1997,9,"67,151",19.64,25.76,14.73,58.41,1.81,70,205.92,202548,180380.4
1997,10,"72,233",13.57,20.64,7.14,11.74,2.03,61.62,237.7,199367,179509
1997,11,"69,412",8.92,14.89,3.91,157.62,1.76,70.71,152.75,199367,179509
1997,12,"86,340",2.38,7.65,-2.04,56.12,1.9,67.76,145.08,199367,179509
1998,1,"77,737",-0.15,4.67,-4.57,40.48,2.38,65.36,149.59,184699,165954.2
1998,2,"86,797",3.55,9.22,-1.45,47.02,2.28,64.62,145.26,184699,165954.2
1998,3,"56,500",7.4,13.68,1.68,47,2.49,57.84,216.56,184699,165954.2
1998,4,"69,818",14.86,20.6,10.05,148.68,2.01,71.07,162.73,180812.3,164956.7
1998,5,"74,074",17.96,23.89,12.54,109.92,1.86,66.27,201.97,180812.3,164956.7
1998,6,"74,374",20.21,24.48,16.49,266.79,1.97,74.78,131.5,180812.3,164956.7
1998,7,"71,306",24.19,27.92,21.22,272.69,2.26,78.04,123.9,184365.5,166762
1998,8,"68,856",24.89,29.07,21.71,452.3,1.71,80,129.69,184365.5,166762
1998,9,"76,542",21.82,27.32,17.43,253.51,1.64,74.16,176.82,184365.5,166762
1998,10,"72,852",16.39,22.25,11.59,63.62,1.7,70.33,183.43,186711.6,169933
1998,11,"77,490",7.85,14.24,2.41,29.86,1.98,63.29,188.78,186711.6,169933
1998,12,"82,825",2.88,9.16,-2.32,7.06,1.93,58.93,193.65,186711.6,169933
1999,1,"76,777",0.31,5.98,-4.71,17.29,2.41,56.67,193.58,196109.9,175878.4
1999,2,"72,291",1.7,7.21,-3.47,17.65,2.54,56.6,183.69,196109.9,175878.4
1999,3,"76,652",6.46,12.4,0.78,91.17,2.2,58.29,170.39,196109.9,175878.4
1999,4,"80,896",12.73,19.25,6.71,95.84,2.43,61.62,226.68,202686.1,184190.3
1999,5,"87,342",17,23.14,11.11,130.77,2.23,63.58,258.5,202686.1,184190.3
1999,6,"78,732",21.61,27.1,16.87,161.25,1.73,70.58,209.34,202686.1,184190.3
